total_count,station_from,station_to,average_transit_time,transit_weight
386,0-1 Av,202-Bedford Av,4.85,12.56
386,0-1 Av,82-3 Av,1,2.59
605,1-103 St,162-96 St,1.51,2.5
602,1-103 St,7-110 St,1.05,1.74
234,10-111 St,398-Ozone Park - Lefferts Blvd,1.04,4.44
232,10-111 St,6-104 St,1.12,4.83
466,100-45 St,113-53 St,1.54,3.3
433,100-45 St,93-36 St,2.59,5.98
668,101-46 St,112-52 St,1,1.5
690,101-46 St,97-40 St,1,1.45
462,102-46 St,390-Northern Blvd,1.5,3.25
475,102-46 St,439-Steinway St,1.71,3.6
105,103-47-50 Sts - Rockefeller Ctr,106-5 Av/53 St,3.11,29.62
662,103-47-50 Sts - Rockefeller Ctr,115-57 St,1.67,2.52
466,103-47-50 Sts - Rockefeller Ctr,129-7 Av,1.55,3.33
1238,103-47-50 Sts - Rockefeller Ctr,98-42 St - Bryant Pk,1.5,1.21
819,104-49 St,116-57 St - 7 Av,1.98,2.42
821,104-49 St,445-Times Sq - 42 St,1.5,1.83
733,105-5 Av,308-Grand Central - 42 St,1.39,1.9
733,105-5 Av,445-Times Sq - 42 St,1.64,2.24
110,106-5 Av/53 St,103-47-50 Sts - Rockefeller Ctr,2.54,23.09
415,106-5 Av/53 St,129-7 Av,1.79,4.31
520,106-5 Av/53 St,355-Lexington Av/53 St,1.57,3.02
757,107-5 Av/59 St,116-57 St - 7 Av,2.53,3.34
757,107-5 Av/59 St,356-Lexington Av/59 St,1.57,2.07
368,108-50 St,114-55 St,1.98,5.38
368,108-50 St,295-Fort Hamilton Pkwy,1.5,4.08
337,109-50 St,119-59 St - Columbus Circle,2.04,6.05
415,109-50 St,129-7 Av,1.63,3.93
752,109-50 St,99-42 St - Port Authority Bus Terminal,2.04,2.71
785,11-116 St,17-125 St,1.5,1.91
785,11-116 St,239-Central Park North (110 St),1,1.27
581,110-50 St,119-59 St - Columbus Circle,2.04,3.51
576,110-50 St,445-Times Sq - 42 St,1.59,2.76
602,111-51 St,118-59 St,1.5,2.49
605,111-51 St,310-Grand Central - 42 St,2.26,3.74
690,112-52 St,101-46 St,1,1.45
668,112-52 St,472-Woodside - 61 St,1.91,2.86
433,113-53 St,100-45 St,1.56,3.6
466,113-53 St,117-59 St,1.52,3.26
368,114-55 St,108-50 St,1.59,4.32
368,114-55 St,121-62 St,1.52,4.13
662,115-57 St,103-47-50 Sts - Rockefeller Ctr,1.51,2.28
662,115-57 St,357-Lexington Av/63 St,3.04,4.59
821,116-57 St - 7 Av,104-49 St,1.68,2.05
757,116-57 St - 7 Av,107-5 Av/59 St,2.53,3.34
436,116-57 St - 7 Av,357-Lexington Av/63 St,2.5,5.73
372,116-57 St - 7 Av,445-Times Sq - 42 St,2.69,7.23
433,117-59 St,113-53 St,1.59,3.67
376,117-59 St,143-8 Av,3,7.98
355,117-59 St,190-Bay Ridge Av,2.15,6.06
296,117-59 St,93-36 St,4.5,15.2
605,118-59 St,111-51 St,1.78,2.94
602,118-59 St,126-68 St - Hunter College,1.75,2.91
694,118-59 St,154-86 St,3.56,5.13
691,118-59 St,310-Grand Central - 42 St,2.67,3.86
337,119-59 St - Columbus Circle,109-50 St,1.63,4.84
576,119-59 St - Columbus Circle,110-50 St,2,3.47
581,119-59 St - Columbus Circle,124-66 St - Lincoln Center,1.5,2.58
466,119-59 St - Columbus Circle,129-7 Av,1.92,4.12
435,119-59 St - Columbus Circle,134-72 St,1.5,3.45
698,119-59 St - Columbus Circle,18-125 St,8.02,11.49
330,119-59 St - Columbus Circle,99-42 St - Port Authority Bus Terminal,2.81,8.52
435,12-116 St,18-125 St,1.62,3.72
435,12-116 St,237-Cathedral Pkwy (110 St),1.5,3.45
386,120-6 Av,142-8 Av,1.02,2.64
386,120-6 Av,449-Union Sq - 14 St,3.94,10.21
368,121-62 St,114-55 St,1.91,5.19
368,121-62 St,131-71 St,2,5.43
462,122-63 Dr - Rego Park,125-67 Av,1.96,4.24
475,122-63 Dr - Rego Park,470-Woodhaven Blvd,1.24,2.61
462,123-65 St,335-Jackson Hts - Roosevelt Av,2.99,6.47
475,123-65 St,390-Northern Blvd,1.53,3.22
576,124-66 St - Lincoln Center,119-59 St - Columbus Circle,1.5,2.6
581,124-66 St - Lincoln Center,133-72 St,1.05,1.81
475,125-67 Av,122-63 Dr - Rego Park,1.79,3.77
462,125-67 Av,292-Forest Hills - 71 Av,1.81,3.92
605,126-68 St - Hunter College,118-59 St,1.56,2.58
602,126-68 St - Hunter College,139-77 St,1.75,2.91
668,127-69 St,135-74 St - Broadway,1.53,2.29
690,127-69 St,472-Woodside - 61 St,2.03,2.94
2,128-7 Av,205-Bergen St,4,2000
2,128-7 Av,245-Church Av,4,2000
809,128-7 Av,33-15 St - Prospect Park,1.5,1.85
807,128-7 Av,96-4 Av,1.95,2.42
466,129-7 Av,103-47-50 Sts - Rockefeller Ctr,1.64,3.52
415,129-7 Av,106-5 Av/53 St,1.14,2.75
415,129-7 Av,109-50 St,3.77,9.08
466,129-7 Av,119-59 St - Columbus Circle,2.1,4.51
602,13-116 St,16-125 St,1.6,2.66
